screen_name,location,id,source,favorite_count,favorited,lang,hashtags,created_at,text,tags,is_retweet,retweet_author,n_words,has_link,emoji_count,emojis
wcmartell,"Studio City, CA",42009429,Hootsuite Inc.,0,False,en,[],2019-07-04 20:00:52,HOT! All 6 MISSION IMPOSSIBLE movies analyzed with all kinds of strange information. Cons &amp; Capers and how they wor… https://t.co/pN9oGb8gzX,[],False,,144,True,0,
z1jobutsu,Los Angeles,224427189,Twitter Web Client,3,False,en,"[{'text': 'books', 'indices': [0, 6]}, {'text': 'gifts', 'indices': [18, 24]}, {'text': 'fantasy', 'indices': [26, 34]}, {'text': 'novel', 'indices': [35, 41]}, {'text': 'Angels', 'indices': [42, 49]}, {'text': 'amazon', 'indices': [50, 57]}, {'text': 'actorslife', 'indices': [58, 69]}, {'text': 'lovestory', 'indices': [70, 80]}, {'text': 'romance', 'indices': [81, 89]}, {'text': 'fosse', 'indices': [90, 96]}, {'text': 'filmmaking', 'indices': [97, 108]}]",2019-07-04 20:00:39,make great ! https://t.co/3KIWClZW3c,"['books', 'gifts', 'fantasy', 'novel', 'Angels', 'amazon', 'actorslife', 'lovestory', 'romance', 'fosse', 'filmmaking']",False,,36,True,0,
Arkayem_,"New York, NY",167806866,Buffer,0,False,en,"[{'text': 'film', 'indices': [104, 109]}]",2019-07-04 20:00:15,RT: https://t.co/mr5MRo1boV For more: @UndergroundPres Grace Jones deserves more screen time than this. https://t.co/FfZpIO6F5t,['film'],False,,127,True,0,
dvdinfatuation,Pennsylvania,190586896,TweetDeck,0,False,en,"[{'text': '70s', 'indices': [41, 45]}, {'text': 'horror', 'indices': [72, 79]}, {'text': 'film', 'indices': [80, 85]}]",2019-07-04 20:00:00,A short-lived punk rock band in the late took their name from this - https://t.co/siNf46G8tI https://t.co/VovNXydeth,"['70s', 'horror', 'film']",False,,116,True,0,
miffy81,unknown,34688877,Twitter for Android,0,False,en,[],2019-07-04 19:59:56,Lovely tribute to Glyn Houston by @DeanPowellPR who co-wrote Glyn's memoirs. I made a profile of Glyn several years ago and…,[],True,gregjlewis,124,False,0,
BlendMoreMag,unknown,190930216,Twitter for iPhone,0,False,en,"[{'text': 'OfficialSelection', 'indices': [67, 85]}]",2019-07-04 19:59:44,More News! @BlessingTheFilm has been named an &amp; will screen at the @CAIFF,"['OfficialSelection', 'CAindependentFilmFestiva']",True,BlessingTheFilm,77,False,0,
LouisHolder1,London,916856197,Twitter for iPhone,0,False,en,[],2019-07-04 19:59:24,"Over 40%, £6000  and more than  supporters. Thank you all. 14 days to go! Share our campaign to make Deptford Cinema m…",[],True,DeptfordCinema,120,False,1,💯
RadiatorMedia,unknown,362848654,Twitter for iPhone,0,False,en,"[{'text': 'OfficialSelection', 'indices': [67, 85]}]",2019-07-04 19:59:24,More News! @BlessingTheFilm has been named an &amp; will screen at the @CAIFF,"['OfficialSelection', 'CAindependentFilmFestiva']",True,BlessingTheFilm,77,False,0,
CindyWathen,"Fresno, CA",15649082,Twitter for iPhone,0,False,en,"[{'text': 'OfficialSelection', 'indices': [67, 85]}]",2019-07-04 19:59:05,More News! @BlessingTheFilm has been named an &amp; will screen at the @CAIFF,"['OfficialSelection', 'CAindependentFilmFestiva']",True,BlessingTheFilm,77,False,0,
lookman_,Official ✔ Verified Account,8768362,Twitter Web Client,0,False,en,"[{'text': 'film', 'indices': [88, 93]}, {'text': 'comedy', 'indices': [94, 101]}, {'text': 'movietwit', 'indices': [102, 112]}]",2019-07-04 19:57:59,Eanie Meanie's not the first artificial boy @Eanies_World https://t.co/wHlGxgypQT  https://t.co/R44Bl87FZm,"['film', 'comedy', 'movietwit']",False,,108,True,2,🕺 😍
JayTwoH,"Michigan, USA",709969153772363776,Instagram,0,False,en,[],2019-07-04 19:57:35,Now watching: Spiderman: Homecoming. Even after watching Far From Home last night I'm still in a Spidey mood!… https://t.co/4Zjik1a2lX,[],False,,134,True,0,
Outdoor_Photog,Iowa,998285845504327682,Twitter Web Client,0,False,en,"[{'text': 'Buddha', 'indices': [109, 116]}, {'text': 'writing', 'indices': [117, 125]}, {'text': 'acting', 'indices': [126, 133]}, {'text': 'film', 'indices': [134, 139]}]",2019-07-04 19:55:40,No one saves us but ourselves. No one can and no one may. We ourselves must walk the path.,"['Buddha', 'writing', 'acting', 'film']",True,noveliciouss,90,False,0,
eugeniesmith,"London, England",351665818,Twitter Web App,0,False,en,"[{'text': 'film', 'indices': [83, 88]}]",2019-07-04 19:55:39,Opportunities still available to be involved in full-length feature @SurveilledMovie A great production TEAM is formin…,['film'],True,RayaFilms,119,False,0,
RealtrFilmkrRon,"Miami-FTL,Florida.USA",297764036,Instagram,1,False,en,"[{'text': 'happyindepenceday', 'indices': [0, 18]}, {'text': 'USA', 'indices': [57, 61]}, {'text': 'realtor', 'indices': [67, 75]}, {'text': 'realestate', 'indices': [76, 87]}, {'text': 'condominiums', 'indices': [88, 101]}, {'text': 'love', 'indices': [102, 107]}]",2019-07-04 19:55:38,hamburgers hot dogs and apple pie .go yay. https://t.co/XsaTRcViAp,"['happyindepenceday', 'USA', 'realtor', 'realestate', 'condominiums', 'love']",False,,66,True,0,
ClarkDSchaefer,Los Angeles,69344493,Instagram,0,False,en,[],2019-07-04 19:54:04,If you’re in New Mexico this weekend please go out and see our film thetangle screening in the @RoswellFilmFest you… https://t.co/R7kGaY3Zaa,[],False,,140,True,0,
InadeBree,Amsterdam | Capetown | Nice ,247299745,Twitter for iPad,4,False,en,[],2019-07-04 19:53:49,"‘When I have nothing in my pocket
I have poetry
When I have nothing in my fridge
I have poetry
When I have nothing… https://t.co/D1m0vpWleq",[],False,,139,True,0,
answersassist,"Pennsylvania, USA",976685197935624193,Twitter for Android,0,False,en,"[{'text': 'lordoftherings', 'indices': [0, 15]}, {'text': 'Fans', 'indices': [16, 21]}, {'text': 'director', 'indices': [49, 58]}, {'text': 'episodes', 'indices': [73, 82]}]",2019-07-04 19:53:16,"want to know - ""Who is the for the first of Amazons Lord of the Rings ser… https://t.co/O8CgQYUP3K","['lordoftherings', 'Fans', 'director', 'episodes']",False,,98,True,0,
xoxoLizza,Around The Globe,41962111,Paper.li,0,False,en,"[{'text': 'Filmmaking', 'indices': [15, 26]}, {'text': 'filmmaking', 'indices': [94, 105]}, {'text': 'film', 'indices': [106, 111]}]",2019-07-04 19:53:04,The latest The Journal! https://t.co/aWTssUbGjk Thanks to @LucaVisualFx @KINOFILM,"['Filmmaking', 'filmmaking', 'film']",False,,81,True,0,
dvdinfatuation,Pennsylvania,190586896,TweetDeck,1,False,en,"[{'text': '70s', 'indices': [5, 9]}, {'text': 'horror', 'indices': [10, 17]}, {'text': 'film', 'indices': [18, 23]}]",2019-07-04 19:53:00,This was distributed on home video by @Troma_Team - https://t.co/ygrtjWAGQQ https://t.co/chM6M8CKI1,"['70s', 'horror', 'film']",False,,99,True,0,
emsayle,"London, England",26465781,Twitter for Android,0,False,en,"[{'text': 'film', 'indices': [47, 52]}]",2019-07-04 19:52:44,Please support this important ! Even if it’s just the price of a coffee!! A donation small or large makes the differ…,['film'],True,lizfarahadi,117,False,0,
