screen_name,location,id,source,favorite_count,favorited,lang,hashtags,created_at,text,tags,is_retweet,retweet_author,n_words,has_link,emoji_count,emojis
jn_author,in your nightmares,1134122174489518085,Twitter for iPad,0,False,en,"[{'text': 'Buddha', 'indices': [109, 116]}, {'text': 'writing', 'indices': [117, 125]}, {'text': 'acting', 'indices': [126, 133]}, {'text': 'film', 'indices': [134, 139]}]",2019-07-04 22:49:39,No one saves us but ourselves. No one can and no one may. We ourselves must walk the path.,"['Buddha', 'writing', 'acting', 'film']",True,noveliciouss,90,False,0,
razxcer,unknown,885581073719087104,company Man,0,False,en,"[{'text': 'abfilm', 'indices': [77, 84]}, {'text': 'cars', 'indices': [85, 90]}, {'text': 'YYC', 'indices': [91, 95]}, {'text': 'Calgary', 'indices': [96, 104]}, {'text': 'film', 'indices': [105, 110]}]",2019-07-04 22:49:05,"nice  Fortunate Son needs 50’s and 60’s era cars, details here. https://t.co/gwmbALaXUg","['abfilm', 'cars', 'YYC', 'Calgary', 'film']",True,DGCADC,87,True,0,
DGCADC,"Calgary, Alberta",2557081080,Twitter Web Client,0,False,en,"[{'text': 'abfilm', 'indices': [59, 66]}, {'text': 'cars', 'indices': [67, 72]}, {'text': 'YYC', 'indices': [73, 77]}, {'text': 'Calgary', 'indices': [78, 86]}, {'text': 'film', 'indices': [87, 92]}, {'text': 'Vintage', 'indices': [93, 101]}]",2019-07-04 22:48:47,"Fortunate Son needs 50’s and 60’s era cars, details here. https://t.co/TuPSQLKEYC","['abfilm', 'cars', 'YYC', 'Calgary', 'film', 'Vintage']",False,,81,True,0,
everyday_sm1107,unknown,986596031134498816,Twitter for Android,3,False,en,"[{'text': 'カメラ好きな人と繋がりたい', 'indices': [14, 28]}, {'text': '写真好きな人と繋がりたい', 'indices': [30, 43]}, {'text': 'ファインダー越しの私の世界ᅠ', 'indices': [45, 60]}, {'text': 'キリトリセカイ', 'indices': [62, 70]}, {'text': 'SnapShot', 'indices': [72, 81]}, {'text': 'camera', 'indices': [82, 89]}, {'text': 'photo', 'indices': [90, 96]}, {'text': 'July', 'indices': [98, 103]}, {'text': 'rain', 'indices': [104, 109]}]",2019-07-04 22:48:43,* July. * https://t.co/egIWwQGVHe,"['カメラ好きな人と繋がりたい', '写真好きな人と繋がりたい', 'ファインダー越しの私の世界ᅠ', 'キリトリセカイ', 'SnapShot', 'camera', 'photo', 'July', 'rain']",False,,34,True,1,☔
RefreshMedia2,"California, USA",1075648490859102208,Twitter for iPhone,0,False,en,"[{'text': 'Film', 'indices': [128, 133]}]",2019-07-04 22:47:47,"“All that is gold does not glitter. Not all those who wander are lost.” – Bilbo Baggins, The Lord of the Rings","['Film', 'Cine']",True,JeanetteJoy,110,False,0,
JeanetteJoy,Temecula Fullerton OC Austin,11294522,The Social Jukebox,1,False,en,"[{'text': 'Film', 'indices': [111, 116]}, {'text': 'Cinema', 'indices': [117, 124]}]",2019-07-04 22:47:14,"“All that is gold does not glitter. Not all those who wander are lost.” – Bilbo Baggins, The Lord of the Rings","['Film', 'Cinema']",False,,110,False,0,
schillin128,"St Louis, MO",2844581316,Instagram,0,False,en,"[{'text': 'zombie', 'indices': [55, 62]}, {'text': 'zombies', 'indices': [63, 71]}, {'text': 'zombiemakeup', 'indices': [72, 85]}, {'text': 'zombieapocalypse', 'indices': [86, 103]}]",2019-07-04 22:47:07,Happy 4th everyone! From your friends @ the ZMAM Show! s makeup apocalypse… https://t.co/Ls7YzUgaH4,"['zombie', 'zombies', 'zombiemakeup', 'zombieapocalypse']",False,,99,True,0,
EmpireDynamic,50 MILLION VIEWS MONTHLY,3240286377,Twibble.io,0,False,en,[],2019-07-04 22:45:15,"‘Midsommar’: Destined to Be Controversial, Because the Real Horror Is Off-Screen (Column) https://t.co/rK2kWMwWw4… https://t.co/jQwDbXQ6IT",[],False,,138,True,0,
KalBashir,"London, LA, NYC",29163076,IFTTT,0,False,en,"[{'text': 'film', 'indices': [97, 102]}, {'text': 'producer', 'indices': [103, 112]}]",2019-07-04 22:45:05,"2100+ stage Hero’s Journey, Transformation, New World tips of the day at https://t.co/tibUlaAIiQ https://t.co/2sQQzXUck8","['film', 'producer']",False,,120,True,0,
Iatselocal212,"Calgary, Alberta",277633054,Buffer,1,False,en,"[{'text': 'abfilm', 'indices': [59, 66]}, {'text': 'cars', 'indices': [67, 72]}, {'text': 'YYC', 'indices': [73, 77]}, {'text': 'Calgary', 'indices': [78, 86]}, {'text': 'film', 'indices': [87, 92]}, {'text': 'Vintage', 'indices': [93, 101]}]",2019-07-04 22:45:02,"Fortunate Son needs 50’s and 60’s era cars, details here. https://t.co/iVY2FsVLL4","['abfilm', 'cars', 'YYC', 'Calgary', 'film', 'Vintage']",False,,81,True,0,
